Index, PS Output(MW)
626, 302.81
627, 302.84
628, 306.3
629, 305.9
630, 307.11
631, 308.83
632, 312.01
633, 307.73
634, 310.65
635, 313.5
636, 312.77
637, 316.64
638, 317.11
639, 318.65
640, 315.75
641, 316.29
642, 316.34
643, 317.13
644, 316.59
645, 316.36
646, 313.82
647, 311.11
648, 307.64
649, 304.56
650, 302.61
651, 300.29
652, 298.43
653, 295.38
654, 291.2
655, 290.12
656, 290.6
657, 289.55
658, 286.5
659, 285.56
660, 290.81
661, 288.48
662, 289.78
663, 289.43
664, 292.69
665, 294.25
666, 293.26
667, 291.33
668, 291.38
669, 289.47
670, 284.68
671, 285.16
672, 275.86
673, 283.13
674, 285.02
675, 283.91
676, 288.12
677, 288.71
678, 281.49
679, 260.4
680, 241.6
681, 238.1
682, 240.52
683, 244.67
684, 247.11
685, 241.11
686, 240.63
687, 242.53
688, 243.01
689, 243.08
690, 241.71
691, 240.31
692, 239.98
693, 237.86
694, 236.31
695, 235.11
696, 235.61
697, 234.12
698, 233.3
699, 232.68
700, 229.85
701, 227.27
702, 225.14
703, 224.35
704, 223.33
705, 223.21
706, 227.24
707, 223.46
708, 222.64
709, 220.27
710, 219.98
711, 220.23
712, 220.12
713, 218.35
714, 220.73
715, 218.88
716, 219.28
717, 219.44
718, 218.79
719, 216.98
720, 214.16
721, 213.71
722, 213.65
723, 210.63
724, 209.34
725, 209.3
726, 208.95
727, 207.57
728, 205.8
729, 204.76
730, 203.31
731, 204.21
732, 202.2
733, 201.36
734, 199.88
735, 199.06
736, 196.8
737, 185.5
738, 183.42
739, 179.72
740, 178.98
741, 181.2
742, 181.77
743, 180.68
744, 180.05
745, 180.08
746, 178.05
747, 179.27
748, 178.23
749, 178.74
750, 179.85
751, 177.58
752, 178.35
753, 178.21
754, 178.62
755, 179.58
756, 180.51
757, 182.07
758, 182.11
759, 186.38
760, 188.08
761, 186.6
762, 182.4
763, 180.89
764, 182.38
765, 184.31
766, 184.66
767, 183.71
768, 181.08
769, 182.12
770, 179.89
771, 180.64
772, 182.43
773, 182.67
774, 181.83
775, 182.6
776, 180.93
777, 181.95
778, 180.3
779, 176.92
780, 177.63
781, 176.62
782, 177.95
783, 179.24
784, 179.35
785, 182.12
786, 184.93
787, 186.0
788, 184.95
789, 184.81
790, 181.25
791, 182.65
792, 182.46
793, 182.23
794, 184.09
795, 180.81
796, 181.5
797, 184.65
798, 183.62
799, 182.99
800, 182.66
801, 180.76
802, 181.86
803, 183.88
804, 184.75
805, 182.84
806, 182.95
807, 184.33
808, 183.99
809, 185.0
810, 187.59
811, 186.93
812, 186.15
813, 185.85
814, 186.02
815, 185.32
816, 184.05
817, 184.7
818, 185.27
819, 186.27
820, 187.42
821, 186.85
822, 187.19
823, 187.21
824, 187.88
825, 187.61
826, 187.57
827, 186.8
828, 187.24
829, 187.02
830, 186.09
831, 185.75
832, 185.1
833, 187.17
834, 187.03
835, 186.12
836, 184.38
837, 185.3
838, 185.03
839, 183.32
840, 182.81
841, 178.67
842, 179.18
843, 179.97
844, 182.12
845, 182.59
846, 183.79
847, 183.5
848, 182.82
849, 181.62
850, 180.74
851, 179.77
852, 179.64
853, 179.31
854, 181.59
855, 187.29
856, 188.19
857, 191.04
858, 189.56
859, 188.13
860, 187.61
861, 185.74
862, 183.88
863, 183.86
864, 181.29
865, 181.54
866, 180.49
867, 180.08
868, 179.25
869, 178.43
870, 176.74
871, 176.05
872, 175.59
873, 174.61
874, 174.51
875, 172.35
876, 170.25
877, 170.06
878, 168.45
879, 167.17
880, 164.47
881, 164.63
882, 163.36
883, 162.36
884, 162.97
885, 164.14
886, 164.91
887, 164.47
888, 164.33
889, 163.93
890, 164.01
891, 165.42
892, 164.88
893, 166.67
894, 168.13
895, 170.4
896, 174.2
897, 175.24
898, 174.92
899, 174.7
900, 173.38
901, 174.05
902, 174.11
903, 175.7
904, 175.79
905, 176.39
906, 177.39
907, 177.51
908, 176.97
909, 175.3
910, 175.0
911, 175.78
912, 174.39
913, 174.01
914, 173.75
915, 172.3
916, 172.75
917, 173.01
918, 171.31
919, 172.62
920, 170.9
921, 173.25
922, 171.93
923, 170.5
924, 171.37
925, 173.88
926, 172.95
927, 174.2
928, 172.32
929, 173.24
930, 173.62
931, 173.17
932, 171.28
933, 173.42
934, 171.19
935, 173.06
936, 172.17
937, 172.31
938, 172.3
939, 173.16
940, 170.48
941, 173.32
942, 172.41
943, 173.2
944, 172.21
945, 170.22
946, 168.03
947, 169.39
948, 167.54
949, 169.06
950, 170.98
951, 173.68
952, 175.2
953, 179.63
954, 183.32
955, 188.12
956, 189.44
957, 189.31
958, 190.19
959, 190.84
960, 192.9
961, 192.5
962, 191.06
963, 190.0
964, 187.15
965, 185.46
966, 183.71
967, 181.81
968, 180.29
969, 178.94
970, 177.09
971, 177.3
972, 178.1
973, 180.54
974, 185.91
975, 187.07
976, 187.15
977, 191.45
978, 192.78
979, 192.29
980, 191.85
981, 191.67
982, 192.67
983, 193.31
984, 193.99
985, 192.85
986, 192.45
987, 192.3
988, 191.27
989, 191.66
990, 189.55
991, 188.37
992, 186.73
993, 188.47
994, 186.67
995, 186.39
996, 185.09
997, 183.41
998, 184.72
999, 184.12
1000, 181.7
1001, 180.37
1002, 179.94
1003, 178.47
1004, 177.67
1005, 174.53
1006, 174.22
1007, 176.74
1008, 178.73
1009, 182.06
1010, 183.58
1011, 188.11
1012, 190.08
1013, 189.12
1014, 189.99
1015, 191.4
1016, 192.66
1017, 189.67
1018, 192.12
1019, 187.77
1020, 189.2
1021, 189.07
1022, 189.42
1023, 189.79
1024, 186.68
1025, 188.94
1026, 189.25
1027, 187.75
1028, 189.55
1029, 189.69
1030, 192.0
1031, 192.42
1032, 193.18
1033, 191.09
1034, 189.93
1035, 189.53
1036, 187.55
1037, 188.86
1038, 186.68
1039, 185.64
1040, 183.62
1041, 184.09
1042, 184.45
1043, 181.93
1044, 180.02
1045, 179.62
1046, 177.51
1047, 176.24
1048, 174.09
1049, 172.93
1050, 171.62
1051, 174.37
1052, 176.71
1053, 177.32
1054, 178.46
1055, 177.01
1056, 176.75
1057, 177.2
1058, 176.96
1059, 176.56
1060, 176.28
1061, 175.84
1062, 175.19
1063, 174.96
1064, 174.2
1065, 173.78
1066, 174.21
1067, 174.36
1068, 174.01
1069, 173.96
1070, 174.65
1071, 175.41
1072, 177.23
1073, 177.35
1074, 177.87
1075, 179.15
1076, 179.12
1077, 179.08
1078, 180.02
1079, 180.54
1080, 180.09
1081, 179.68
1082, 178.21
1083, 177.82
1084, 177.99
1085, 177.78
1086, 177.32
1087, 177.3
1088, 177.27
1089, 176.5
1090, 176.73
1091, 177.26
1092, 177.34
1093, 177.41
1094, 176.41
1095, 176.59
1096, 176.65
1097, 175.18
1098, 175.33
1099, 174.64
1100, 174.16
1101, 174.2
1102, 175.34
1103, 175.02
1104, 175.56
1105, 176.13
1106, 179.06
1107, 177.31
1108, 176.75
1109, 176.43
1110, 176.82
1111, 176.78
1112, 175.95
1113, 176.28
1114, 175.87
1115, 177.55
1116, 181.44
1117, 181.74
1118, 182.35
1119, 182.74
1120, 181.57
1121, 180.6
1122, 179.39
1123, 179.96
1124, 177.21
1125, 176.86
1126, 176.02
1127, 176.33
1128, 176.1
1129, 175.94
1130, 175.45
1131, 175.37
1132, 175.19
1133, 174.63
1134, 173.84
1135, 172.13
1136, 173.47
1137, 172.58
1138, 172.53
1139, 171.57
1140, 171.92
1141, 172.14
1142, 172.23
1143, 171.98
1144, 171.04
1145, 171.12
1146, 171.23
1147, 163.53
1148, 163.32
1149, 164.46
1150, 163.75
1151, 164.54
1152, 166.37
1153, 168.08
1154, 171.19
1155, 171.97
1156, 172.63
1157, 173.5
1158, 172.12
1159, 172.71
1160, 173.4
1161, 173.43
1162, 172.54
1163, 173.38
1164, 173.4
1165, 172.52
1166, 172.13
1167, 174.71
1168, 171.72
1169, 172.86
1170, 173.0
1171, 171.6
1172, 171.43
1173, 170.49
1174, 171.62
1175, 170.6
1176, 170.16
1177, 170.04
1178, 170.92
1179, 170.17
1180, 171.41
1181, 171.72
1182, 172.93
1183, 172.77
1184, 171.63
1185, 173.14
1186, 172.79
1187, 172.62
1188, 171.39
1189, 172.67
1190, 173.29
1191, 173.4
1192, 173.19
1193, 175.4
1194, 176.16
1195, 176.01
1196, 174.57
1197, 175.86
1198, 175.57
1199, 175.19
1200, 175.68
1201, 175.34
1202, 176.22
1203, 176.34
1204, 177.08
1205, 176.45
1206, 176.58
1207, 177.99
1208, 178.98
1209, 180.01
1210, 179.76
1211, 178.98
1212, 178.66
1213, 177.79
1214, 177.64
1215, 177.28
1216, 178.61
1217, 178.6
1218, 177.56
1219, 179.1
1220, 177.25
1221, 177.23
1222, 176.97
1223, 177.05
1224, 176.77
1225, 176.11
1226, 176.2
1227, 177.11
1228, 176.2
1229, 175.29
1230, 175.7
1231, 175.47
1232, 176.88
1233, 175.04
1234, 175.94
1235, 176.8
1236, 176.65
1237, 176.49
1238, 175.69
1239, 175.03
1240, 175.36
1241, 175.59
1242, 175.72
1243, 175.8
1244, 175.86
1245, 175.08
1246, 175.48
1247, 175.32
1248, 175.92
1249, 175.46
1250, 175.44
1251, 175.57
1252, 176.15
1253, 175.87
1254, 176.56
1255, 175.29
1256, 175.65
1257, 176.02
1258, 176.4
1259, 176.59
1260, 176.79
1261, 177.04
1262, 177.11
1263, 176.39
1264, 177.16
1265, 177.74
1266, 177.73
1267, 178.22
1268, 177.0
1269, 176.57
1270, 176.63
1271, 175.91
1272, 176.45
1273, 175.9
1274, 176.12
1275, 175.31
1276, 175.55
1277, 175.01
1278, 174.79
1279, 173.86
1280, 173.93
1281, 173.74
1282, 173.71
1283, 172.8
1284, 173.72
1285, 173.4
1286, 174.09
1287, 173.24
1288, 173.14
1289, 172.03
1290, 172.06
1291, 172.89
1292, 172.89
1293, 172.1
1294, 172.29
1295, 172.57
1296, 173.08
1297, 173.13
1298, 172.41
1299, 171.34
1300, 172.28
1301, 171.23
1302, 171.14
1303, 170.15
1304, 162.7
1305, 161.32
1306, 161.31
1307, 161.81
1308, 161.85
1309, 161.63
1310, 162.53
1311, 162.49
1312, 162.3
1313, 162.61
1314, 163.55
1315, 163.65
1316, 163.23
1317, 163.8
1318, 163.11
1319, 162.5
1320, 163.3
1321, 163.05
1322, 164.92
1323, 163.92
1324, 164.9
1325, 165.84
1326, 165.64
1327, 165.65
1328, 165.83
1329, 165.97
1330, 165.9
1331, 166.72
1332, 166.38
1333, 167.8
1334, 168.54
1335, 166.14
1336, 167.29
1337, 167.48
1338, 167.28
1339, 165.67
1340, 167.18
1341, 165.9
1342, 166.84
1343, 167.93
1344, 168.61
1345, 170.78
1346, 171.33
1347, 171.46
1348, 171.83
1349, 171.53
1350, 172.18
1351, 172.49
1352, 173.47
1353, 173.81
1354, 173.76
1355, 173.02
1356, 172.96
1357, 174.37
1358, 175.15
1359, 174.91
1360, 175.16
1361, 175.09
1362, 174.91
1363, 175.4
1364, 173.47
1365, 171.7
1366, 170.96
1367, 172.05
1368, 172.84
1369, 173.14
1370, 173.68
1371, 173.87
1372, 174.85
1373, 174.75
1374, 174.61
1375, 174.75
1376, 174.85
1377, 174.96
1378, 174.73
1379, 173.85
1380, 174.43
1381, 173.37
1382, 173.25
1383, 173.3
1384, 173.74
1385, 172.59
1386, 172.03
1387, 172.1
1388, 169.69
1389, 170.71
1390, 170.05
1391, 170.6
1392, 172.97
1393, 170.23
1394, 173.28
1395, 173.94
1396, 174.22
1397, 173.81
1398, 171.92
1399, 173.21
1400, 171.96
1401, 169.22
1402, 162.3
1403, 161.25
1404, 161.84
1405, 161.5
1406, 161.33
1407, 161.19
1408, 160.47
1409, 159.75
1410, 160.2
1411, 159.81
1412, 160.03
1413, 160.01
1414, 160.09
1415, 160.03
1416, 161.01
1417, 160.35
1418, 160.92
1419, 161.69
1420, 161.23
1421, 161.37
1422, 161.74
1423, 162.63
1424, 162.92
1425, 163.8
1426, 165.19
1427, 169.74
1428, 170.33
1429, 168.62
1430, 169.33
1431, 169.13
1432, 168.55
1433, 168.78
1434, 166.45
1435, 166.53
1436, 167.37
1437, 169.64
1438, 168.45
1439, 170.44
1440, 182.63
1441, 193.76
1442, 203.84
1443, 208.42
1444, 210.95
1445, 210.82
1446, 212.15
1447, 214.12
1448, 216.41
1449, 217.6
1450, 220.55
1451, 223.45
1452, 228.01
1453, 227.28
1454, 227.95
1455, 237.92
1456, 247.9
1457, 252.89
1458, 247.56
1459, 259.14
1460, 301.02
1461, 319.17
1462, 320.77
1463, 323.32
1464, 324.74
1465, 326.15
1466, 328.66
1467, 324.17
1468, 325.03
1469, 328.77
1470, 330.54
1471, 329.87
1472, 329.54
1473, 329.57
1474, 335.8
1475, 342.53
1476, 331.21
1477, 334.21
1478, 336.18
1479, 338.52
1480, 335.28
1481, 332.64
1482, 333.86
1483, 333.58
1484, 331.01
1485, 335.34
1486, 331.42
1487, 331.72
1488, 330.93
1489, 328.89
1490, 329.76
1491, 330.38
1492, 329.32
1493, 332.57
1494, 335.23
1495, 341.21
1496, 337.45
1497, 341.99
1498, 336.53
1499, 342.23
1500, 345.22
1501, 347.16
1502, 346.9
1503, 348.91
1504, 349.75
1505, 348.98
1506, 350.52
1507, 353.6
1508, 355.1
1509, 355.88
1510, 358.93
1511, 356.11
1512, 360.8
1513, 363.69
1514, 361.37
1515, 361.88
1516, 363.18
1517, 362.89
1518, 357.74
1519, 358.07
1520, 360.29
1521, 356.29
1522, 356.11
1523, 356.82
1524, 358.27
1525, 358.28
1526, 357.07
1527, 357.98
1528, 355.19
1529, 355.57
1530, 352.69
1531, 353.29
1532, 352.57
1533, 353.14
1534, 348.45
1535, 351.21
1536, 349.64
1537, 348.2
1538, 346.07
1539, 344.54
1540, 343.52
1541, 342.4
1542, 342.34
1543, 342.5
1544, 339.43
1545, 335.72
1546, 330.68
1547, 332.41
1548, 327.76
1549, 323.4
1550, 326.84
1551, 327.02
1552, 332.23
1553, 332.21
1554, 331.48
1555, 334.6
1556, 336.83
1557, 343.17
1558, 340.81
1559, 338.38
1560, 339.24
1561, 338.77
1562, 340.29
1563, 342.02
1564, 343.02
1565, 343.7
1566, 341.2
1567, 342.52
1568, 344.15
1569, 343.08
1570, 343.36
1571, 345.72
1572, 347.22
1573, 347.8
1574, 349.11
1575, 352.94
1576, 351.31
1577, 348.26
1578, 346.5
1579, 345.15
1580, 344.77
1581, 345.88
1582, 346.26
1583, 347.91
1584, 347.72
1585, 350.48
1586, 345.93
1587, 347.85
1588, 348.22
1589, 347.09
1590, 345.12
1591, 345.81
1592, 346.75
1593, 345.19
1594, 345.3
1595, 344.5
1596, 346.7
1597, 346.26
1598, 346.31
1599, 346.33
1600, 347.34
1601, 349.0
1602, 349.7
1603, 351.39
1604, 350.02
1605, 349.81
1606, 350.14
1607, 354.78
1608, 353.2
1609, 354.38
1610, 353.63
1611, 352.96
1612, 353.41
1613, 348.86
1614, 345.83
1615, 348.86
1616, 349.43
1617, 350.96
1618, 350.61
1619, 354.97
1620, 355.79
1621, 353.06
1622, 359.11
1623, 353.16
1624, 359.74
1625, 356.55
1626, 354.78
1627, 354.89
1628, 359.39
1629, 353.27
1630, 348.93
1631, 347.83
1632, 346.34
1633, 344.62
1634, 335.56
1635, 339.33
1636, 337.64
1637, 336.6
1638, 340.06
1639, 341.43
1640, 341.43
1641, 345.83
1642, 350.67
1643, 350.14
1644, 353.11
1645, 361.02
1646, 371.65
1647, 371.92
1648, 372.7
1649, 379.28
1650, 376.87
1651, 379.96
1652, 384.88
1653, 379.37
1654, 382.08
1655, 380.88
1656, 380.86
1657, 387.18
1658, 385.45
1659, 384.73
1660, 384.99
1661, 381.96
1662, 380.39
1663, 372.92
1664, 373.7
1665, 355.72
1666, 352.16
1667, 346.42
1668, 344.21
1669, 344.74
1670, 342.23
1671, 340.25
1672, 339.15
1673, 335.06
1674, 334.2
1675, 336.98
1676, 336.4
1677, 337.0
1678, 336.74
1679, 338.37
1680, 336.21
1681, 336.35
1682, 335.74
1683, 335.85
1684, 338.64
1685, 339.18
1686, 338.72
1687, 339.12
1688, 336.99
1689, 336.72
1690, 340.11
